timestamp,source,ip,event_type,user,path,status,status_code,label
2026-07-09 12:00:01,ssh,192.168.1.10,login,raid,,success,,
2026-07-09 12:01:14,ssh,192.168.1.11,login,admin,,success,,
2026-07-09 12:02:30,ssh,192.168.1.10,login,raid,,failed,,
2026-07-09 12:03:02,ssh,192.168.1.12,login,dev,,success,,
2026-07-09 12:10:01,ssh,45.12.88.10,login,root,,failed,,
2026-07-09 12:10:05,ssh,45.12.88.10,login,admin,,failed,,
2026-07-09 12:10:09,ssh,45.12.88.10,login,test,,failed,,
2026-07-09 12:10:13,ssh,45.12.88.10,login,user,,failed,,
2026-07-09 12:10:17,ssh,45.12.88.10,login,oracle,,failed,,
2026-07-09 12:10:21,ssh,45.12.88.10,login,postgres,,failed,,
2026-07-09 12:10:25,ssh,45.12.88.10,login,git,,failed,,
2026-07-09 12:10:29,ssh,45.12.88.10,login,deploy,,failed,,
2026-07-09 12:10:33,ssh,45.12.88.10,login,backup,,failed,,
2026-07-09 12:10:37,ssh,45.12.88.10,login,mysql,,failed,,
2026-07-09 12:20:01,ssh,91.44.20.7,login,admin,,failed,,
2026-07-09 12:20:06,ssh,91.44.20.7,login,admin,,failed,,
2026-07-09 12:20:11,ssh,91.44.20.7,login,admin,,failed,,
2026-07-09 12:20:30,ssh,91.44.20.7,login,admin,,success,,
